уi,ax,ay,bx,by,err_px
132,1620.736,485.028,1620.515,484.811,0.3102
133,1681.194,485.410,1680.964,485.216,0.3003
134,1741.827,485.851,1741.563,485.627,0.3463
135,176.800,545.670,176.945,545.406,0.3008
136,237.430,545.209,237.605,544.965,0.3010
137,297.938,544.766,298.139,544.516,0.3209
138,358.411,544.345,358.586,544.107,0.2963
139,418.795,543.917,418.904,543.734,0.2132
140,479.026,543.612,479.208,543.394,0.2840
141,539.267,543.288,539.394,543.083,0.2416
142,599.393,543.065,599.492,542.800,0.2824
143,659.543,542.867,659.650,542.619,0.2692
144,719.520,542.638,719.604,542.423,0.2302
145,779.624,542.493,779.681,542.277,0.2239
146,839.567,542.430,839.601,542.181,0.2511
147,899.570,542.324,899.578,542.111,0.2132
148,959.508,542.343,959.498,542.092,0.2503
149,1019.486,542.375,1019.482,542.096,0.2791
150,1079.471,542.436,1079.407,542.189,0.2549
151,1139.465,542.537,1139.417,542.284,0.2580
152,1199.429,542.665,1199.365,542.425,0.2485
153,1259.556,542.849,1259.445,542.610,0.2633
154,1319.583,543.066,1319.488,542.825,0.2590
155,1379.801,543.288,1379.652,543.114,0.2289
156,1439.971,543.670,1439.826,543.354,0.3472
157,1500.258,543.933,1500.117,543.703,0.2701
158,1560.646,544.313,1560.434,544.073,0.3201
159,1621.095,544.730,1620.873,544.529,0.3001
160,1681.611,545.214,1681.396,544.956,0.3362
161,1742.247,545.631,1742.027,545.429,0.2985
162,176.265,605.607,176.488,605.415,0.2947
163,237.009,605.090,237.128,604.860,0.2588
164,297.584,604.620,297.729,604.364,0.2939
165,358.046,604.133,358.138,603.904,0.2467
166,418.437,603.728,418.586,603.495,0.2765
167,478.876,603.358,478.938,603.075,0.2893
168,539.007,603.021,539.145,602.781,0.2766
169,599.289,602.712,599.337,602.472,0.2452
170,659.338,602.439,659.453,602.232,0.2371
171,719.508,602.306,719.565,602.022,0.2900
172,779.493,602.128,779.520,601.793,0.3357
173,839.542,601.941,839.575,601.736,0.2083
174,899.557,601.941,899.534,601.632,0.3095
175,959.515,601.896,959.489,601.626,0.2708
176,1019.493,601.891,1019.505,601.643,0.2478
177,1079.572,601.984,1079.514,601.734,0.2573
178,1139.515,602.128,1139.484,601.820,0.3093
179,1199.652,602.256,1199.584,601.992,0.2730
180,1259.639,602.452,1259.579,602.180,0.2788
181,1319.825,602.734,1319.713,602.466,0.2906
182,1380.042,603.004,1379.840,602.763,0.3146
183,1440.294,603.341,1440.115,603.119,0.2860
184,1500.577,603.695,1500.419,603.489,0.2600
185,1560.996,604.159,1560.820,603.923,0.2937
186,1621.495,604.608,1621.293,604.350,0.3277
187,1682.067,605.114,1681.864,604.865,0.3219
188,1742.868,605.613,1742.547,605.400,0.3854
189,175.669,665.789,175.826,665.588,0.2550
190,236.442,665.201,236.590,664.942,0.2978
191,297.112,664.634,297.273,664.423,0.2646
192,357.609,664.091,357.775,663.848,0.2942
193,418.015,663.587,418.291,663.386,0.3411
194,478.474,663.246,478.613,662.942,0.3338
195,538.762,662.842,538.893,662.573,0.2991
196,598.977,662.519,599.115,662.260,0.2932
197,659.276,662.204,659.330,662.020,0.1917
198,719.289,662.010,719.345,661.731,0.2848
199,779.420,661.773,779.490,661.569,0.2162
200,839.423,661.711,839.465,661.416,0.2972
201,899.545,661.649,899.515,661.366,0.2846
202,959.487,661.631,959.461,661.360,0.2722
203,1019.562,661.607,1019.535,661.324,0.2836
204,1079.531,661.737,1079.525,661.452,0.2852
205,1139.697,661.817,1139.624,661.563,0.2642
206,1199.714,662.033,1199.653,661.709,0.3289
207,1259.905,662.254,1259.787,661.964,0.3134
208,1320.018,662.445,1319.852,662.250,0.2562
209,1380.280,662.846,1380.142,662.591,0.2894
210,1440.550,663.286,1440.413,662.963,0.3509
211,1500.941,663.631,1500.788,663.425,0.2571
212,1561.458,664.130,1561.261,663.850,0.3419
213,1621.983,664.606,1621.758,664.408,0.3005
214,1682.628,665.221,1682.417,664.972,0.3264
215,1743.387,665.799,1743.226,665.570,0.2802
216,174.953,726.172,175.111,725.951,0.2722
217,235.747,725.471,235.973,725.185,0.3648
218,296.514,724.883,296.667,724.623,0.3026
219,357.135,724.312,357.289,724.086,0.2741
220,417.634,723.788,417.761,723.515,0.3012
221,478.130,723.293,478.238,723.088,0.2324
222,538.433,722.892,538.537,722.596,0.3143
223,598.752,722.527,598.888,722.256,0.3033
